team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Club The Strongest,The Strongest,2026,Bolivia,2,1,1,0,1,1,0,0,0,0,1,0,1,1.5,3,0,0,23,23,36,2,2,0,4,3,1,2,0,1,1,1,-1,90,45,0,90,90,90,0,0,0,1,1,0,1,0,1,1,1,0,11,8,3,8,1,7,56,79,33,33,27,6,9,8,1,24,19,5,26,12,14,0,0,0,1,0,1,-1,0,-1,0,0,0,1,1,0,1,0,1,0.5,1,0,2,3,1,1,2,0,1,1,1,0.5,0,1,0,0,0,0.5,0,1,2,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,2,2,2,0,0,0,1,1,1,0,1,1,1,1,1,100,50,50,0,0,0,100,100,100,0,0,0,100,0,0,0,0,0,0,50,50,100,100,100,0,0,0,100,100,100,0,100,100,100,100,100,1,0,0,0,0,0,1,0,0,50,0,0,0,0,0,100,0,0,50,100,0,0,0,0,0,50,100,0,50,0,100,50,100,0,1,1,0,50,100,0,2,1,1,100,100,100,0,0,0,0,0,0,0,0,0,50,100,0,50,0,100,5.50,8.00,3.00,4,1,7.00,100,100,100,100,50,50,0,0,1.67,2.71,0.63,1.53,0.94,2.11,50,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,50,0,100,0
Deportivo Táchira FC,Deportivo Táchira,2026,Venezuela,4,2,2,0,2,1,1,0,0,0,2,1,1,1.5,1.5,1.5,0,32,32,28,3,3,0,6,2,4,1,2,1,2,0,0,120,180,90,120,180,90,2,1,1,1,0,1,1,1,0,2,1,1,18,13,5,11,7,4,41,52,31,43,28,15,17,12,5,26,16,10,34,17,17,1,1,0,0,0,0,1,1,0,1,1,0,3,1,2,0,0,0,1.5,2,1,1.5,1,2,0.75,0.5,1,0.75,0.5,1,0.25,0.5,0,0.25,0.5,0,0,0,0,4,1,1,0,0,0,2,0,0,0,0,0,2,1,1,0,0,0,0,3,3,4,4,4,0,2,2,2,2,2,0,1,1,2,2,2,100,25,25,0,0,0,100,0,0,0,0,0,100,50,50,0,0,0,0,75,75,100,100,100,0,100,100,100,100,100,0,50,50,100,100,100,1,0,0,1,0,0,0,0,0,25,0,0,50,0,0,0,0,0,50,50,50,0,50,50,50,25,0,50,25,50,0,50,50,50,4,2,2,100,100,100,3,1,2,75,50,100,0,0,0,0,0,0,25,50,0,75,50,100,0,0,0,4.50,6.50,2.50,2.75,3.5,2.00,50,50,50,50,25,25,0,0,1.20,1.60,0.80,1.37,0.84,1.91,25,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,50,50,50,0
Club Deportes Tolima SA,Deportes Tolima,2026,Colombia,10,5,5,0,4,3,1,2,1,1,4,1,3,1.4,2,0.8,2,17,17,4,10,8,2,18,9,9,8,2,1,7,7,-5,90,56,225,113,450,64,6,4,2,1,0,1,5,2,3,4,3,1,43,23,20,24,9,15,59,63,55,103,64,39,45,29,16,58,35,23,114,53,61,2,2,0,3,0,3,-1,2,-3,2,2,0,6,3,3,2,0,2,1.2,1.8,0.6,1.8,1.8,1.8,1,1.6,0.4,0.8,0.2,1.4,0.5,0.4,0.6,0.2,0.4,0,0.3,0,0.6,8,5,4,1,0,0,4,3,2,0,0,0,4,2,2,1,0,0,2,5,6,9,10,10,1,2,3,5,5,5,1,3,3,4,5,5,80,50,40,10,0,0,80,60,40,0,0,0,80,40,40,20,0,0,20,50,60,90,100,100,20,40,60,100,100,100,20,60,60,80,100,100,4,1,0,2,0,0,2,1,0,40,10,0,40,0,0,40,20,0,40,60,20,68,60,80,40,10,0,20,50,40,60,40,60,20,8,5,3,80,100,60,8,3,5,80,60,100,0,0,0,0,0,0,20,40,0,60,60,60,20,0,40,4.30,4.60,4.00,2.4,1.8,3.00,70,70,60,50,40,30,10,0,1.21,1.50,0.93,1.27,1.01,1.52,20,0,0,0,1,1,1,2,3,2,0,0,1,0,3,1,1,0,2,20,20,20,40,20,60,0
Botafogo FR,Botafogo,2026,Brazil,4,2,2,0,1,1,0,1,0,1,2,1,1,1,1.5,0.5,0,2,2,32,3,3,0,6,3,3,2,1,1,2,1,-1,120,90,180,120,180,90,1,1,0,1,0,1,2,1,1,1,1,0,16,10,6,7,3,4,60,71,50,56,37,19,17,12,5,39,25,14,39,22,17,2,2,0,2,1,1,0,1,-1,1,1,0,1,0,1,2,1,1,1,1.5,0.5,1.5,1.5,1.5,0.75,1,0.5,0.75,0.5,1,1,1.5,0.5,0.5,1,0,0.5,0.5,0.5,4,2,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,0,2,4,4,4,4,0,1,2,2,2,2,0,1,2,2,2,2,100,50,0,0,0,0,100,50,0,0,0,0,100,50,0,0,0,0,0,50,100,100,100,100,0,50,100,100,100,100,0,50,100,100,100,100,3,1,0,2,1,0,1,0,0,75,25,0,100,50,0,50,0,0,25,50,0,33,25,50,0,25,0,50,50,50,50,25,50,0,2,1,1,50,50,50,3,1,2,75,50,100,0,0,0,0,0,0,25,50,0,25,0,50,50,50,50,4.00,5.00,3.00,1.75,1.5,2.00,50,50,25,25,0,0,0,0,1.45,1.99,0.92,1.25,0.83,1.68,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,25,0,50,50,50,50,0
CA Nacional Potosí,Nacional Potosí,2026,Bolivia,2,1,1,0,1,1,0,0,0,0,1,0,1,1.5,3,0,0,22,22,38,1,2,-1,3,1,2,1,0,0,2,1,-2,180,90,0,90,0,45,1,1,0,0,0,0,1,0,1,1,1,0,6,5,1,4,0,4,53,65,40,32,25,7,5,2,3,27,23,4,15,5,10,0,0,0,2,0,2,-2,0,-2,0,0,0,1,1,0,1,0,1,0.5,1,0,1.5,1,2,0.5,1,0,1,0,2,1,0,2,0,0,0,1,0,2,2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,2,2,2,2,0,1,1,1,1,1,0,0,1,1,1,1,100,50,0,0,0,0,100,0,0,0,0,0,100,100,0,0,0,0,0,50,100,100,100,100,0,100,100,100,100,100,0,0,100,100,100,100,1,1,0,0,0,0,1,1,0,50,50,0,0,0,0,100,100,0,50,100,0,100,50,100,0,0,0,0,50,0,100,50,100,0,1,1,0,50,100,0,2,1,1,100,100,100,0,0,0,0,0,0,0,0,0,50,100,0,50,0,100,3.00,5.00,1.00,2,0,4.00,0,0,0,0,0,0,0,0,1.53,2.21,0.84,1.25,0.73,1.77,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,50,0,100,0
Club Sporting Cristal SAC,Sporting Cristal,2026,Peru,10,5,5,0,3,2,1,2,1,1,5,2,3,1.1,1.4,0.8,3,28,28,14,10,13,-3,23,8,15,4,6,4,9,0,-3,90,113,75,69,113,50,4,3,1,4,1,3,3,2,1,4,2,2,49,32,17,28,12,16,52,59,46,136,86,50,37,23,14,99,63,36,108,52,56,3,0,3,7,3,4,-4,-3,-1,1,0,1,6,3,3,3,2,1,0.9,0.6,1.2,2.3,1.6,3,1,0.8,1.2,1.3,0.8,1.8,1,0.6,1.4,0.3,0,0.6,0.7,0.6,0.8,9,7,4,2,1,0,4,3,1,0,0,0,5,4,3,2,1,0,1,3,6,8,9,10,1,2,4,5,5,5,0,1,2,3,4,5,90,70,40,20,10,0,80,60,20,0,0,0,100,80,60,40,20,0,10,30,60,80,90,100,20,40,80,100,100,100,0,20,40,60,80,100,5,3,1,2,1,0,3,2,1,50,30,10,40,20,0,60,40,20,30,40,20,9,40,60,20,40,20,60,30,40,20,40,40,40,6,3,3,60,60,60,7,5,2,70,100,40,2,0,2,20,0,40,10,0,20,60,60,60,30,40,20,4.90,6.40,3.40,2.8,2.4,3.20,90,70,60,60,40,20,10,10,1.44,1.83,1.05,1.41,1.21,1.61,60,0,1,0,0,3,2,1,0,3,2,0,3,2,1,1,1,1,2,20,20,20,50,40,60,10
Club Guaraní,Guaraní,2026,Paraguay,2,1,1,0,0,0,0,1,0,1,1,1,0,0.5,0,1,0,43,43,43,1,2,-1,3,3,0,1,0,2,0,-1,0,180,90,0,90,45,0,1,0,1,1,1,0,1,0,1,0,0,0,6,3,3,5,3,2,45,46,44,27,17,10,13,7,6,14,10,4,33,17,16,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,1,1.5,3,0,0.5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,1,1,1,1,1,1,50,50,50,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,50,50,50,100,100,100,0,0,0,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,100,50,100,0,50,0,100,0,0,0,2,1,1,100,100,100,2,1,1,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,3.00,3.00,3.00,2.5,3,2.00,0,0,0,0,0,0,0,0,1.65,1.89,1.40,1.59,1.49,1.68,50,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,50,0,100,50,100,0,0
Argentinos Juniors,Argentinos Juniors,2026,Argentina,2,1,1,0,1,0,1,0,0,0,1,1,0,1.5,0,3,0,11,11,34,1,1,0,2,1,1,0,1,1,0,-1,1,180,0,90,180,90,0,1,0,1,0,0,0,1,1,0,1,0,1,5,3,2,6,2,4,65,70,60,19,10,9,8,7,1,11,3,8,24,14,10,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,1,1,1,1,0.5,0,1,0.5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,2,2,0,1,1,1,1,1,0,1,1,1,1,1,100,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,100,100,100,100,100,0,100,100,100,100,100,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,100,-100,50,0,100,0,0,0,50,100,0,50,0,100,2,1,1,100,100,100,2,1,1,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,2.50,3.00,2.00,3,2,4.00,0,0,0,0,0,0,0,0,1.19,1.55,0.82,1.05,0.79,1.31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,50,100,0,0
Barcelona SC,Barcelona,2026,Ecuador,10,5,5,0,3,1,2,1,1,0,6,3,3,1,0.8,1.2,4,37,37,17,5,14,-9,19,8,11,3,2,5,9,-2,-7,180,150,225,64,90,50,3,1,2,2,2,0,5,2,3,4,2,2,27,17,10,37,16,21,39,48,30,102,68,34,27,19,8,75,49,26,101,56,45,2,1,1,4,2,2,-2,-1,-1,2,1,1,5,3,2,3,1,2,1.1,1.2,1,1.9,1.6,2.2,0.5,0.6,0.4,1.4,1,1.8,0.6,0.6,0.6,0.2,0.2,0.2,0.4,0.4,0.4,10,5,3,1,0,0,5,2,1,0,0,0,5,3,2,1,0,0,0,5,7,9,10,10,0,3,4,5,5,5,0,2,3,4,5,5,100,50,30,10,0,0,100,40,20,0,0,0,100,60,40,20,0,0,0,50,70,90,100,100,0,60,80,100,100,100,0,40,60,80,100,100,5,1,0,2,1,0,3,0,0,50,10,0,40,20,0,60,0,0,30,20,40,25,30,20,40,20,40,0,50,40,60,40,40,40,7,4,3,70,80,60,8,4,4,80,80,80,0,0,0,0,0,0,20,20,20,50,60,40,30,20,40,2.70,3.40,2.00,3.7,3.2,4.20,50,50,30,20,0,0,0,0,1.05,1.40,0.71,1.67,1.00,2.33,50,1,0,1,0,0,0,1,2,0,1,1,1,1,0,3,1,2,4,10,20,0,60,60,60,0
CR Flamengo,Flamengo,2026,Brazil,6,3,3,0,5,3,2,1,0,1,0,0,0,2.67,3,2.33,1,0,0,1,14,2,12,16,9,7,8,6,1,1,7,5,39,34,45,273,273,273,4,2,2,2,1,1,0,0,0,5,3,2,25,16,9,4,3,1,58,65,52,92,64,28,32,17,15,60,47,13,38,26,12,3,2,1,1,1,0,2,1,1,2,1,1,3,2,1,0,0,0,1.8,1.67,2,2.67,3,2.33,2.33,2.67,2,0.33,0.33,0.33,0.8,1,0.5,0.6,0.67,0.5,0.2,0.33,0,6,5,3,1,1,0,3,2,2,1,1,0,3,3,1,0,0,0,0,1,3,5,5,6,0,1,1,2,2,3,0,0,2,3,3,3,100,83,50,17,17,0,100,67,67,33,33,0,100,100,33,0,0,0,0,17,50,83,83,100,0,33,33,67,67,100,0,0,67,100,100,100,2,1,1,1,1,1,1,0,0,40,20,20,33,33,33,50,0,0,83,100,67,0,67,67,67,33,33,33,0,0,0,83,100,67,4,2,2,80,67,100,3,2,1,60,67,50,1,1,0,20,33,0,40,33,50,60,67,50,0,0,0,4.17,5.33,3.00,0.67,1,0.33,67,67,50,50,33,17,0,0,1.92,2.16,1.55,0.91,0.71,1.23,100,0,1,0,1,2,1,1,1,4,0,0,0,1,0,1,0,0,0,17,0,33,0,0,0,0
Cruzeiro EC,Cruzeiro,2026,Brazil,6,3,3,0,3,2,1,2,0,2,1,1,0,1.83,2,1.67,2,1,1,11,8,3,5,11,8,3,6,2,2,1,4,1,68,45,134,180,134,273,4,2,2,2,1,1,1,0,1,3,2,1,18,15,3,21,11,10,54,62,46,71,48,23,23,16,7,48,32,16,66,32,34,1,1,0,2,1,1,-1,0,-1,1,1,0,3,1,2,2,1,1,1,1.33,0.67,1.83,2.67,1,1.33,2,0.67,0.5,0.67,0.33,0.5,0.67,0.33,0.17,0.33,0,0.33,0.33,0.33,5,3,2,1,0,0,3,2,2,1,0,0,2,1,0,0,0,0,1,3,4,5,6,6,0,1,1,2,3,3,1,2,3,3,3,3,83,50,33,17,0,0,100,67,67,33,0,0,67,33,0,0,0,0,17,50,67,83,100,100,0,33,33,67,100,100,33,67,100,100,100,100,3,0,0,2,0,0,1,0,0,50,0,0,67,0,0,33,0,0,50,67,33,8,67,67,67,33,33,33,17,0,33,50,67,33,4,2,2,67,67,67,5,2,3,83,67,100,0,0,0,0,0,0,17,33,0,50,33,67,33,33,33,3.00,5.00,1.00,3.5,3.67,3.33,67,50,17,17,17,17,17,0,1.28,1.74,0.83,1.36,0.72,1.99,33,1,0,0,0,0,5,0,1,1,0,1,1,0,0,0,0,0,1,33,0,67,17,33,0,0
Fluminense FC,Fluminense,2026,Brazil,6,3,3,0,2,2,0,2,0,2,2,1,1,1.33,2,0.67,2,3,3,22,7,7,0,14,10,4,6,1,4,3,2,-2,77,45,273,77,68,90,1,0,1,4,3,1,2,0,2,3,3,0,19,8,11,13,6,7,65,67,62,87,52,35,30,20,10,57,32,25,65,35,30,4,4,0,4,3,1,0,1,-1,1,1,0,4,2,2,1,0,1,1.17,1.67,0.67,2.33,3.33,1.33,1.17,2,0.33,1.17,1.33,1,1.33,2.33,0.33,0.67,1.33,0,0.67,1,0.33,5,5,3,1,0,0,3,3,3,1,0,0,2,2,0,0,0,0,1,1,3,5,6,6,0,0,0,2,3,3,1,1,3,3,3,3,83,83,50,17,0,0,100,100,100,33,0,0,67,67,0,0,0,0,17,17,50,83,100,100,0,0,0,67,100,100,33,33,100,100,100,100,4,3,1,3,3,1,1,0,0,67,50,17,100,100,33,33,0,0,33,67,0,29,17,0,33,67,100,33,33,0,67,50,100,0,2,0,2,33,0,67,3,0,3,50,0,100,3,3,0,50,100,0,17,33,0,67,67,67,17,0,33,3.17,2.67,3.67,2.17,2,2.33,33,33,17,17,17,0,0,0,1.71,2.07,1.34,1.04,0.86,1.20,33,3,0,1,0,0,0,1,1,1,1,1,1,1,0,1,2,0,0,33,0,67,33,33,33,0
SE Palmeiras,Palmeiras,2026,Brazil,6,3,3,0,3,2,1,2,0,2,1,1,0,1.83,2,1.67,2,4,4,12,10,5,5,15,9,6,6,4,3,2,3,2,54,45,68,108,90,134,1,0,1,4,2,2,1,1,0,4,2,2,37,14,23,7,3,4,62,63,60,111,51,60,35,19,16,76,32,44,57,25,32,6,4,2,3,2,1,3,2,1,3,1,2,2,2,0,1,0,1,1.83,1.67,2,2.5,3,2,1.67,2,1.33,0.83,1,0.67,1.5,2,1,1,1.33,0.67,0.5,0.67,0.33,6,5,2,1,1,0,3,2,2,1,1,0,3,3,0,0,0,0,0,1,4,5,5,6,0,1,1,2,2,3,0,0,3,3,3,3,100,83,33,17,17,0,100,67,67,33,33,0,100,100,0,0,0,0,0,17,67,83,83,100,0,33,33,67,67,100,0,0,100,100,100,100,5,2,1,2,2,1,3,0,0,83,33,17,67,67,33,100,0,0,50,67,33,0,17,0,33,67,67,67,17,33,0,67,67,67,3,1,2,50,33,67,2,1,1,33,33,33,2,2,0,33,67,0,50,33,67,33,67,0,17,0,33,6.17,4.67,7.67,1.17,1,1.33,100,83,67,50,50,33,33,17,1.97,1.90,2.03,1.16,1.00,1.33,83,1,0,1,3,2,2,0,1,0,1,0,0,1,2,0,0,1,0,33,0,67,17,33,0,17
SC Corinthians Paulista,Corinthians,2026,Brazil,6,3,3,0,3,2,1,2,0,2,1,1,0,1.83,2,1.67,1,5,5,13,8,4,4,12,6,6,4,4,2,2,2,2,68,68,68,134,134,134,3,2,1,2,0,2,1,1,0,3,2,1,30,18,12,4,3,1,65,74,56,81,43,38,32,18,14,49,25,24,34,17,17,2,2,0,2,1,1,0,1,-1,1,1,0,3,1,2,2,1,1,1,1.33,0.67,2,2,2,1.33,1.33,1.33,0.67,0.67,0.67,0.67,1,0.33,0.33,0.67,0,0.33,0.33,0.33,6,6,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,6,6,6,6,0,0,3,3,3,3,0,0,3,3,3,3,100,100,0,0,0,0,100,100,0,0,0,0,100,100,0,0,0,0,0,0,100,100,100,100,0,0,100,100,100,100,0,0,100,100,100,100,3,1,0,2,1,0,1,0,0,50,17,0,67,33,0,33,0,0,50,67,33,0,50,67,33,33,0,67,17,33,0,50,67,33,4,2,2,67,67,67,5,2,3,83,67,100,0,0,0,0,0,0,17,33,0,50,33,67,33,33,33,5.00,6.00,4.00,0.67,1,0.33,83,83,67,33,17,17,17,0,1.55,1.72,1.38,1.16,0.88,1.45,0,0,1,1,0,0,2,2,1,1,0,1,1,0,0,2,0,0,0,33,0,67,17,33,0,0
CA Lanús,Lanús,2026,Argentina,6,3,3,0,3,3,0,0,0,0,3,0,3,1.5,3,0,3,7,7,20,3,7,-4,10,3,7,3,0,0,7,3,-7,180,90,0,77,0,39,3,3,0,0,0,0,3,0,3,3,3,0,41,27,14,13,6,7,50,56,44,77,59,18,23,17,6,54,42,12,52,32,20,1,1,0,2,0,2,-1,1,-2,1,1,0,4,2,2,1,0,1,1.17,1.67,0.67,1.67,1,2.33,0.5,1,0,1.17,0,2.33,0.5,0.33,0.67,0.17,0.33,0,0.33,0,0.67,6,2,1,1,0,0,3,0,0,0,0,0,3,2,1,1,0,0,0,4,5,5,6,6,0,3,3,3,3,3,0,1,2,2,3,3,100,33,17,17,0,0,100,0,0,0,0,0,100,67,33,33,0,0,0,67,83,83,100,100,0,100,100,100,100,100,0,33,67,67,100,100,2,1,0,1,0,0,1,1,0,33,17,0,33,0,0,33,33,0,50,100,0,100,50,100,0,0,0,0,50,0,100,50,100,0,5,3,2,83,100,67,5,2,3,83,67,100,0,0,0,0,0,0,17,33,0,67,67,67,17,0,33,6.83,9.00,4.67,2.17,2,2.33,83,67,67,67,50,33,17,0,1.40,2.05,0.75,1.28,0.71,1.84,17,0,0,1,0,0,0,1,1,0,0,0,1,0,2,1,0,1,2,0,0,0,50,0,100,0
CA Boca Juniors,Boca Juniors,2026,Argentina,6,3,3,0,2,1,1,1,1,0,3,1,2,1.17,1.33,1,3,8,8,26,6,5,1,11,6,5,4,2,2,3,2,-1,90,68,134,108,134,90,1,1,0,2,1,1,3,1,2,3,2,1,33,26,7,18,5,13,56,63,49,86,69,17,31,23,8,55,46,9,65,27,38,3,2,1,1,1,0,2,1,1,3,2,1,2,0,2,1,1,0,1.83,2,1.67,1.83,2,1.67,1,1.33,0.67,0.83,0.67,1,0.67,1,0.33,0.5,0.67,0.33,0.17,0.33,0,6,3,2,0,0,0,3,2,1,0,0,0,3,1,1,0,0,0,0,3,4,6,6,6,0,1,2,3,3,3,0,2,2,3,3,3,100,50,33,0,0,0,100,67,33,0,0,0,100,33,33,0,0,0,0,50,67,100,100,100,0,33,67,100,100,100,0,67,67,100,100,100,4,0,0,3,0,0,1,0,0,67,0,0,100,0,0,33,0,0,33,33,33,26,17,33,0,33,33,33,50,33,67,50,67,33,5,2,3,83,67,100,3,1,2,50,33,67,0,0,0,0,0,0,50,67,33,33,0,67,17,33,0,5.50,8.67,2.33,3,1.67,4.33,67,67,50,33,33,17,17,0,1.57,2.37,0.76,0.88,0.56,1.19,33,0,2,0,1,0,0,1,0,2,0,0,0,1,0,1,0,1,2,17,33,0,50,33,67,0
Estudiantes de La Plata,Estudiantes,2026,Argentina,6,3,3,0,2,2,0,3,1,2,1,0,1,1.5,2.33,0.67,2,9,9,19,6,5,1,11,6,5,4,2,2,3,2,-1,90,68,134,108,134,90,1,1,0,4,2,2,1,0,1,3,2,1,30,21,9,22,9,13,48,60,36,88,60,28,30,23,7,58,37,21,68,34,34,2,1,1,3,2,1,-1,-1,0,1,0,1,3,2,1,2,1,1,1,0.67,1.33,1.83,2,1.67,1,1.33,0.67,0.83,0.67,1,0.83,1,0.67,0.33,0.33,0.33,0.5,0.67,0.33,6,4,1,0,0,0,3,2,1,0,0,0,3,2,0,0,0,0,0,2,5,6,6,6,0,1,2,3,3,3,0,1,3,3,3,3,100,67,17,0,0,0,100,67,33,0,0,0,100,67,0,0,0,0,0,33,83,100,100,100,0,33,67,100,100,100,0,33,100,100,100,100,4,1,0,2,1,0,2,0,0,67,17,0,67,33,0,67,0,0,33,67,0,26,17,33,0,67,67,67,17,0,33,50,67,33,3,1,2,50,33,67,4,2,2,67,67,67,1,1,0,17,33,0,17,0,33,50,67,33,33,33,33,5.00,7.00,3.00,3.67,3,4.33,67,67,33,33,17,17,17,17,1.59,2.24,0.94,1.13,0.74,1.52,50,1,0,1,0,1,2,0,0,1,0,0,0,3,0,0,2,0,0,50,33,67,17,0,33,0
